,p,dim,dfs_avg_time,dfs_success,bfs_avg_time,bfs_success,e_astar_avg_time,e_astar_success,m_astar_avg_time,m_astar_success
0,0.1,40,0.000289621,0.96,0.004504526,0.96,0.100450668,0.96,0.101144388,0.96
1,0.2,40,0.000539641,0.78,0.002817876,0.78,0.055725646,0.78,0.054693394,0.78
2,0.3,40,0.000898888,0.58,0.001934092,0.58,0.024757588,0.58,0.025231533,0.58
3,0.4,40,0.000739207,0.05,0.000491004,0.05,0.005214512,0.05,0.005011716,0.05
4,0.5,40,5.03E-05,0,5.99E-05,0,0.0001296,0,0.000119886,0
5,0.6,40,9.06E-05,0,5.02E-05,0,4.98E-05,0,5.94E-05,0
6,0.7,40,7.99E-05,0,6.02E-05,0,3.03E-05,0,4.01E-05,0
7,0.8,40,7.98E-05,0,7.98E-05,0,4.99E-05,0,2.03E-05,0
8,0.9,40,9.03E-05,0,4.03E-05,0,1.00E-05,0,1.02E-05,0
